Any,Salari brut anual mitjà,Menys de 25 anys,De 25 a 34 anys,De 35 a 44 anys,De 45 a 54 anys,De 55 anys i més
"2021","25.896,82","12.930,13","20.848,08","25.615,45","28.219,62","28.687,17"
"2020","25.165,51","12.693,72","20.090,90","25.039,08","27.499,90","28.124,29"
"2019","24.395,98","12.270,40","19.563,03","24.631,46","26.885,80","27.539,73"
"2018","24.009,12","12.417,98","19.350,14","24.380,69","26.416,99","27.150,93"
"2017","23.646,50","11.472,81","18.505,53","23.690,34","25.949,73","26.646,32"
"2016","23.156,34","11.046,39","17.978,45","23.299,99","25.499,02","26.202,60"
"2015","23.106,30","11.039,53","18.251,51","23.335,61","25.474,81","26.327,00"
"2014","22.858,17","11.560,18","18.680,42","23.503,84","25.420,53","26.137,13"
"2013","22.697,86","10.506,14","17.973,39","23.232,40","25.229,32","25.631,60"
"2012","22.726,44","11.077,39","18.689,58","23.519,76","25.258,59","25.372,97"
"2011","22.899,35","11.954,86","19.269,23","23.830,08","25.834,68","26.124,09"
"2010","22.790,20","13.154,92","19.772,21","23.732,38","25.818,68","26.162,43"
"2009","22.511,47","12.565,99","19.476,35","23.299,64","25.447,11","25.281,30"
"2008","21.883,42","12.953,62","19.206,37","22.977,00","25.016,17","25.235,33"
"2007","20.390,35","12.441,85","17.879,11","21.519,83","23.691,53","23.814,81"
"2006","19.680,88","12.316,36","17.413,22","21.057,59","23.142,83","24.125,85"
"2005","18.676,92","12.638,99","16.646,42","20.268,53","23.403,89","24.089,06"
"2004","18.310,11","11.881,13","16.525,25","19.996,85","23.164,05","22.566,80"
Unitats: Euros.,Unitats: Euros.,Unitats: Euros.,Unitats: Euros.,Unitats: Euros.,Unitats: Euros.,Unitats: Euros.
Font:,Font:,Font:,Font:,Font:,Font:,Font:
2004-2005: INE. Enquesta anual d'estructura salarial.,2004-2005: INE. Enquesta anual d'estructura salarial.,2004-2005: INE. Enquesta anual d'estructura salarial.,2004-2005: INE. Enquesta anual d'estructura salarial.,2004-2005: INE. Enquesta anual d'estructura salarial.,2004-2005: INE. Enquesta anual d'estructura salarial.,2004-2005: INE. Enquesta anual d'estructura salarial.
2006: INE. Enquesta d'estructura salarial.,2006: INE. Enquesta d'estructura salarial.,2006: INE. Enquesta d'estructura salarial.,2006: INE. Enquesta d'estructura salarial.,2006: INE. Enquesta d'estructura salarial.,2006: INE. Enquesta d'estructura salarial.,2006: INE. Enquesta d'estructura salarial.
2007-2009: INE. Enquesta anual d'estructura salarial.,2007-2009: INE. Enquesta anual d'estructura salarial.,2007-2009: INE. Enquesta anual d'estructura salarial.,2007-2009: INE. Enquesta anual d'estructura salarial.,2007-2009: INE. Enquesta anual d'estructura salarial.,2007-2009: INE. Enquesta anual d'estructura salarial.,2007-2009: INE. Enquesta anual d'estructura salarial.
2010: INE. Enquesta d'estructura salarial.,2010: INE. Enquesta d'estructura salarial.,2010: INE. Enquesta d'estructura salarial.,2010: INE. Enquesta d'estructura salarial.,2010: INE. Enquesta d'estructura salarial.,2010: INE. Enquesta d'estructura salarial.,2010: INE. Enquesta d'estructura salarial.
2011-2013: INE. Enquesta anual d'estructura salarial.,2011-2013: INE. Enquesta anual d'estructura salarial.,2011-2013: INE. Enquesta anual d'estructura salarial.,2011-2013: INE. Enquesta anual d'estructura salarial.,2011-2013: INE. Enquesta anual d'estructura salarial.,2011-2013: INE. Enquesta anual d'estructura salarial.,2011-2013: INE. Enquesta anual d'estructura salarial.
2014: INE. Enquesta d'estructura salarial.,2014: INE. Enquesta d'estructura salarial.,2014: INE. Enquesta d'estructura salarial.,2014: INE. Enquesta d'estructura salarial.,2014: INE. Enquesta d'estructura salarial.,2014: INE. Enquesta d'estructura salarial.,2014: INE. Enquesta d'estructura salarial.
2015-2017: INE. Enquesta anual d'estructura salarial.,2015-2017: INE. Enquesta anual d'estructura salarial.,2015-2017: INE. Enquesta anual d'estructura salarial.,2015-2017: INE. Enquesta anual d'estructura salarial.,2015-2017: INE. Enquesta anual d'estructura salarial.,2015-2017: INE. Enquesta anual d'estructura salarial.,2015-2017: INE. Enquesta anual d'estructura salarial.
2018-2021: INE. Enquesta d'estructura salarial.,2018-2021: INE. Enquesta d'estructura salarial.,2018-2021: INE. Enquesta d'estructura salarial.,2018-2021: INE. Enquesta d'estructura salarial.,2018-2021: INE. Enquesta d'estructura salarial.,2018-2021: INE. Enquesta d'estructura salarial.,2018-2021: INE. Enquesta d'estructura salarial.
(b) Ruptura en la sèrie temporal.,(b) Ruptura en la sèrie temporal.,(b) Ruptura en la sèrie temporal.,(b) Ruptura en la sèrie temporal.,(b) Ruptura en la sèrie temporal.,(b) Ruptura en la sèrie temporal.,(b) Ruptura en la sèrie temporal.
